1,174,1331,-1, 1.0
2,1333,2040,-1, 1.0
3,2044,4383,-1, 1.0
4,4430,5890,-1, 1.0
5,5887,8328,1, 1.0
6,8416,9270,1, 1.0
7,9275,10210,1, 1.0
8,10367,11104,-1, 1.0
9,11108,11734,-1, 1.0
10,11793,13115,-1, 1.0
11,13183,14526,-1, 1.0
12,14585,15964,-1, 1.0
13,16018,16683,-1, 1.0
14,16680,17684,1, 1.0
15,17757,18206,-1, 1.0
16,18283,19002,-1, 1.0
17,19034,20158,-1, 1.0
18,20155,20388,-1, 1.0
19,20378,21295,-1, 1.0
20,21261,21611,1, 1.0
21,21634,22524,1, 1.0
22,22532,23953,1, 1.0
23,24150,25172,-1, 1.0
24,25173,26159,1, 1.0
25,26152,27243,1, 1.0
26,27287,27847,-1, 1.0
27,27847,28353,-1, 1.0
28,28330,29370,1, 1.0
29,29363,30250,1, 1.0
30,30289,30525,-1, 1.0
31,30526,30930,1, 1.0
32,31101,31520,1, 1.0
33,31579,32091,1, 1.0
34,32335,32532,-1, 1.0
35,32543,33697,1, 1.0
36,33758,34876,-1, 1.0
37,34925,36511,-1, 1.0
38,36556,37269,-1, 1.0
39,37360,37968,-1, 1.0
40,38074,38226,-1, 1.0
41,38231,40021,-1, 1.0
42,40052,40576,1, 1.0
43,40595,42397,1, 1.0
44,42415,44190,1, 1.0
45,44305,46965,-1, 1.0
46,46950,48896,1, 1.0
47,49017,49475,-1, 1.0
48,49482,50591,1, 1.0
49,50672,52144,-1, 1.0
50,52148,52762,1, 1.0
51,52837,54075,-1, 1.0
52,54244,54915,1, 1.0
53,55066,56028,-1, 1.0
54,56047,56181,1, 1.0
55,56663,57787,-1, 1.0
56,57789,58175,1, 1.0
57,58176,58637,1, 1.0
58,58826,58963,-1, 1.0
59,59051,59413,-1, 1.0
60,59496,63080,-1, 1.0
61,63126,64148,-1, 1.0
62,64160,65449,1, 1.0
63,65841,67190,-1, 1.0
64,67208,67513,1, 1.0
65,67604,67792,-1, 1.0
66,67828,68802,-1, 1.0
67,68803,69036,1, 1.0
68,69046,71028,1, 1.0
69,71066,71353,1, 1.0
70,71401,71742,1, 1.0
71,71763,72368,1, 1.0
72,72448,74376,-1, 1.0
73,74373,75650,1, 1.0
74,75650,76867,1, 1.0
75,76872,77657,1, 1.0
76,77679,79121,1, 1.0
77,79219,79581,-1, 1.0
78,79845,80951,-1, 1.0
79,80967,81137,-1, 1.0
80,81171,82808,-1, 1.0
81,82844,84133,-1, 1.0
82,84786,85253,-1, 1.0
83,85259,85939,1, 1.0
84,85958,86680,1, 1.0
85,86776,87960,-1, 1.0
86,87975,89828,-1, 1.0
87,89838,91241,-1, 1.0
88,91260,91964,-1, 1.0
89,91965,92273,1, 1.0
90,92390,92728,-1, 1.0
91,92764,92994,-1, 1.0
92,92962,93144,1, 1.0
93,93215,94837,-1, 1.0
94,95004,95147,-1, 1.0
95,95155,96303,1, 1.0
96,96452,96715,-1, 1.0
97,96748,97131,-1, 1.0
98,97200,97346,-1, 1.0
99,97375,97701,1, 1.0
100,97734,98660,1, 1.0
101,98735,99532,1, 1.0
102,99535,100965,1, 1.0
103,100958,102370,1, 1.0
104,102557,103324,-1, 1.0
105,103324,104991,-1, 1.0
106,104981,105916,1, 1.0
107,106023,107387,-1, 1.0
108,107394,107486,1, 1.0
109,107552,107938,1, 1.0
110,108003,109157,1, 1.0
111,109169,109831,1, 1.0
112,109828,110754,1, 1.0
113,110805,111362,-1, 1.0
114,111615,112325,-1, 1.0
115,112312,113037,1, 1.0
116,113076,113246,1, 1.0
117,113301,113699,-1, 1.0
118,113692,114483,-1, 1.0
119,114476,114946,1, 1.0
120,114949,116403,1, 1.0
121,116503,116895,-1, 1.0
122,116904,117332,-1, 1.0
123,117334,118533,-1, 1.0
124,118530,118799,-1, 1.0
125,118750,119682,1, 1.0
126,119826,120068,-1, 1.0
127,120073,120750,1, 1.0
128,120767,121735,1, 1.0
129,121892,122161,-1, 1.0
130,122163,122846,-1, 1.0
131,123289,124260,-1, 1.0
132,124573,124932,1, 1.0
133,125358,126113,-1, 1.0
134,126143,127102,1, 1.0
135,127095,127739,1, 1.0
136,127740,130037,1, 1.0
137,130155,130676,-1, 1.0
138,130689,132041,1, 1.0
139,132148,132894,-1, 1.0
140,132895,134295,-1, 1.0
141,134349,135356,-1, 1.0
142,135371,136267,-1, 1.0
143,136272,136892,-1, 1.0
